Food Name,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Sugars (g)
Beef Liver,258.4,10.2,47.9,9.5,1.5,15.6
Turkey Breast,276.8,34.0,21.0,9.3,11.1,15.8
Pumpkin,160.3,30.3,66.4,21.9,12.3,11.3
Lotus Root,294.3,18.7,29.6,3.2,7.9,18.7
Grapes,221.9,47.3,5.7,15.0,8.8,15.6
Chicken Thighs,361.4,24.5,61.7,36.8,4.8,13.3
Squash,459.9,7.1,61.9,43.1,13.4,27.5
Millet,556.4,1.7,59.9,33.1,7.8,1.8
Tomatoes,254.3,6.9,44.2,9.9,7.5,17.1
Raspberries,523.0,4.4,48.1,44.0,4.9,5.8
Canola Oil,168.0,23.4,66.9,25.6,4.3,9.4
Papaya,279.9,9.8,59.6,11.0,11.0,11.7
Walnuts,429.8,28.2,14.9,40.3,2.1,12.1
Brazil Nuts,444.6,47.1,43.7,12.2,9.4,22.6
Venison,592.9,30.0,61.9,22.1,3.1,25.8
Strawberries,71.6,36.6,73.7,46.3,13.2,25.0
Cottage Cheese,305.1,18.4,7.4,5.8,9.3,4.7
Asparagus,359.4,34.3,47.8,3.0,11.0,5.2
Blueberries,189.4,46.7,56.8,48.5,13.6,29.6
Lentils,403.0,38.4,12.9,17.7,14.3,3.5
Blackberries,208.1,10.7,7.9,29.2,10.5,9.3
Okra,62.8,33.9,4.6,5.3,12.3,0.8
Cashew Milk,54.4,23.7,73.6,34.0,9.3,24.0
Parsnips,128.2,1.4,34.2,18.5,3.5,20.8
Prunes,321.8,26.9,14.5,6.6,2.3,5.9
Feta Cheese,418.6,45.0,55.6,4.5,3.3,28.0
Avocado,329.3,18.5,18.4,41.0,7.9,22.2
Sunflower Seeds,496.8,1.2,60.3,17.2,8.0,2.1
Black Beans,466.8,11.0,47.1,35.9,13.5,27.6
Sesame Oil,545.9,9.8,58.4,34.4,9.4,6.9
Broccoli,301.3,23.7,10.5,38.3,13.6,20.5
Cheddar Cheese,226.6,39.1,66.4,46.5,12.8,29.8
Spinach,366.9,36.0,13.8,22.5,6.4,13.9
Peaches,120.7,8.3,51.9,15.6,6.4,15.1
Pears,175.0,8.4,63.0,26.1,12.5,6.0
Limes,265.3,45.7,49.1,32.5,7.4,23.8
Tea (Black),543.2,21.0,7.5,38.5,12.3,23.9
Tapioca,65.6,19.7,55.5,15.4,13.5,11.8
Maple Syrup,359.1,19.5,42.0,6.4,1.6,10.3
Acai,68.1,41.9,8.8,45.4,14.6,15.3
Tempeh,392.8,30.2,63.6,15.5,11.6,23.1
Macadamia Nuts,369.7,32.4,52.2,18.3,12.7,24.5
Bison,546.2,43.9,4.3,45.6,14.3,15.4
Mustard,303.9,21.0,41.6,25.3,13.6,13.5
Radish,152.8,46.0,69.9,20.0,3.1,14.6
Tofu,427.7,37.0,2.8,34.0,10.0,12.3
Scallops,354.9,28.4,56.2,16.6,6.3,16.9
Cinnamon,97.1,5.2,72.7,36.5,9.5,28.0
Kale,119.1,41.5,14.1,45.4,3.5,29.6
Honey,596.8,31.9,23.7,2.2,9.2,11.9
Grapefruit,434.4,33.8,47.9,22.6,1.6,21.8
Wakame,317.6,49.3,23.5,15.9,1.0,10.5
Yucca,416.4,23.5,3.4,7.9,12.0,8.1
Chia Seeds,391.8,27.1,77.5,18.1,4.6,10.7
Whole Wheat Bread,452.5,16.1,41.9,28.2,2.0,4.8
Whey Protein,463.6,38.7,78.4,30.4,3.9,0.7
Parsley,135.5,17.3,36.7,30.4,11.8,4.5
Arrowroot,524.6,26.7,56.1,26.4,12.7,28.8
Endive,542.4,26.2,68.9,0.9,2.4,28.2
Pinto Beans,178.4,7.1,36.8,44.0,9.8,9.6
Mackerel,461.5,46.1,50.9,37.3,8.8,5.4
Oats,579.4,34.6,29.4,5.1,12.7,22.8
Goat Meat,165.8,17.9,55.9,16.0,0.8,27.7
Buckwheat,196.4,22.2,38.9,41.8,0.8,17.0
Brown Rice,584.1,40.6,55.9,7.9,3.4,21.8
Cilantro,256.3,12.8,36.8,36.2,13.0,0.6
Dark Chocolate (85%),464.5,13.9,75.3,10.3,4.8,20.9
Carrots,237.5,13.6,37.6,48.7,2.5,24.1
Pecans,537.4,5.1,34.6,41.9,12.3,11.4
Cauliflower,321.7,15.2,31.2,4.5,0.7,19.9
Parmesan Cheese,491.2,35.6,28.5,46.7,0.6,13.2
Figs,377.4,17.9,12.6,10.2,4.0,25.3
Spirulina,114.5,38.4,63.3,16.2,1.6,5.1
Eggs,111.4,4.4,25.0,38.2,4.0,28.4
Cherries,294.9,8.0,37.2,40.3,3.0,24.5
Ginger,51.1,42.5,76.8,24.3,6.1,28.1
Oregano,464.2,4.4,59.6,11.4,6.3,22.3
Hemp Protein,545.6,45.0,0.6,6.2,2.2,7.4
Lettuce,325.2,25.1,17.2,26.7,2.7,16.9
Couscous,134.2,5.6,59.7,43.0,14.2,19.9
Miso,165.5,21.9,79.9,36.5,7.2,30.0
Coriander,378.2,31.2,18.6,32.8,3.2,21.8
Casein Protein,411.4,1.2,34.3,47.5,8.9,3.0
Whole Wheat Pasta,333.9,34.3,57.2,11.5,13.1,4.7
Cumin,243.5,11.8,2.8,47.6,0.6,28.9
Quinoa,115.2,11.2,23.6,38.5,0.8,11.8
Hazelnuts,415.2,30.7,22.9,16.5,4.1,8.2
Pickles,376.6,32.7,1.9,40.0,2.4,28.7
Coconut Milk,573.0,45.9,13.4,22.4,11.2,3.0
Matcha,258.4,34.6,37.2,43.5,11.7,18.9
Chicken Breast,577.7,31.5,69.2,20.2,13.4,26.9
Radicchio,92.2,1.5,12.0,34.3,4.9,19.0
Brussels Sprouts,583.5,36.4,22.1,21.3,14.3,12.7
Soybeans,500.4,38.0,66.4,35.4,6.3,2.1
Pomegranate,159.0,28.2,61.7,37.5,4.2,24.2
Dulse,310.7,14.9,37.3,31.4,7.3,11.5
Apples,203.5,48.9,56.4,35.9,2.6,27.2
Coconut,467.4,46.8,45.6,31.5,10.9,27.4
Barley,68.2,1.2,2.9,45.0,2.8,24.1
Arugula,483.7,28.8,30.6,45.5,13.1,4.9
Lobster,302.5,25.2,7.3,26.9,1.2,14.7
Turmeric,237.2,21.4,27.6,37.9,1.0,11.7
Watercress,227.0,37.9,22.1,24.1,5.3,6.0
Cucumber,252.7,9.2,67.2,3.7,3.6,25.8
Pumpkin Seeds,300.4,12.9,47.7,17.2,1.3,8.3
Corn Oil,422.8,42.7,77.1,16.2,1.6,14.7
Basil,106.0,6.1,64.1,36.9,0.4,13.0
Swiss Chard,445.6,31.1,72.8,11.9,10.0,16.2
Cabbage,173.2,14.1,64.3,31.8,11.3,16.0
Cantaloupe,428.8,12.2,24.7,13.6,7.5,5.6
Milk (Whole),311.6,5.7,65.9,37.3,5.8,15.2
Tilapia,372.7,5.9,52.1,11.2,9.0,29.5
Rosemary,510.3,8.9,62.9,8.9,9.9,12.8
Coconut Oil,179.7,38.3,25.8,31.9,0.8,8.8
Nutmeg,115.6,21.9,2.1,23.7,13.6,5.3
Bamboo Shoots,182.6,42.8,73.1,45.9,5.3,5.2
Stevia,294.9,7.1,59.2,17.5,6.3,5.7
Kombu,439.8,16.9,46.2,31.2,11.6,8.1
Pork Tenderloin,261.8,28.6,46.5,29.4,2.5,6.3
Sweet Potato,320.8,4.2,17.8,48.8,11.7,17.6
Almond Milk,64.6,34.4,71.4,20.1,12.4,29.4
Anchovies,336.7,6.5,7.0,5.9,14.8,18.6
Kefir,498.6,17.1,71.1,42.9,2.4,1.4
Tea (Green),425.0,4.8,51.2,20.0,6.8,17.2
Beef (Lean),111.5,27.7,55.3,30.8,1.5,15.3
Nori,51.0,42.2,16.0,38.9,4.2,2.9
Zucchini,437.7,49.7,3.3,25.3,7.0,5.9
Oysters,471.5,19.2,27.6,26.7,11.4,13.3
Mozzarella,407.6,38.5,65.6,31.4,1.6,17.3
Eggplant,82.5,23.0,57.4,35.5,10.9,22.6
Ham,66.0,35.1,15.3,8.3,5.2,13.5
Tuna,456.2,26.9,46.2,31.2,11.6,13.0
Duck,277.9,16.1,3.6,7.3,14.0,14.2
Cashews,82.8,18.5,37.6,40.3,14.8,22.5
Watermelon,323.3,7.6,71.1,48.3,13.6,15.0
Chlorella,555.6,27.2,33.7,29.3,8.8,16.5
Yogurt (Plain),62.4,17.7,67.2,31.2,8.0,2.1
